source_id,source_name,methodology_name,methodology_code,version,related_projects_count,related_documents_count,countries_count,example_project_name,example_project_url,notes
jcm_mn,JCM Mongolia-Japan,Installation of solar photovoltaic system and battery energy storage system,MN_AM004,Ver1.0,1,0,1,Installation of 5MW solar PV system and 3.6MWh battery energy storage system in Zavkhan Province,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
jcm_mn,JCM Mongolia-Japan,Installation of Solar PV System,MN_AM003,Ver3.0,3,0,1,Introduction of 15MW Solar Power System near New Airport,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
jcm_mn,JCM Mongolia-Japan,Replacement and Installation of High Efficiency Heat Only Boiler (HOB) for Hot Water Supply Systems,MN_AM002,Ver1.0,2,0,1,Centralization of heat supply system by installation of high-efficiency Heat Only Boilers in Bornuur soum Project,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
jcm_mn,JCM Mongolia-Japan,Installation of energy-saving transmission lines in the Mongolian Grid,MN_AM001,Ver1.0,1,0,1,A HIGH EFFICIENCY AND LOW LOSS POWER TRANSMISSION AND DISTRIBUTION SYSTEM IN MONGOLIA,https://www.jcm.go.jp/jc/mn-projects/,Parsed from JCM Mongolia-Japan methodology listing; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0001 Flaring or use of landfill gas,,,29,0,8,Alfenas Landfill Gas Project,https://registry.goldstandard.org/projects/details/13129,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0002 Grid-connected electricity generation from renewable sources,,,394,0,33,Pando and Monte Lirio Hydroelectric Plants,https://registry.goldstandard.org/projects/details/12983,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0006 Electricity and heat generation from biomass residues,,,5,0,4,14.4 MW Bio-Mass based Co-Gen Power Plant project by Oasis group in Haryana,https://registry.goldstandard.org/projects/details/12191,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0010 GHG emission reductions from manure management systems,,,25,0,4,Jinruifeng Animal Manure Management System GHG Mitigation Project in Guangdong Province,https://registry.goldstandard.org/projects/details/12291,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0012 Waste energy recovery,,,9,0,4,Waste Heat Recovery based power generation by Shree Cement Limited at Ras Rajasthan India,https://registry.goldstandard.org/projects/details/12056,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0014 Treatment of wastewater,,,5,0,3,Effluent Treatment Recycling and Energy Generation (ETREG) Plant Dwangwa,https://registry.goldstandard.org/projects/details/13115,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0018 Electricity generation from biomass residues in power-only plants,,,4,0,3,PNG Biomass Markham Valley Energy project,https://registry.goldstandard.org/projects/details/6502,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0022 Alternative waste treatment processes,,,7,0,5,Diverting Sargassum and Biodegradable Organic Matter from Landfills in Quintana Roo Mexico,https://registry.goldstandard.org/projects/details/13082,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,ACM0026 Fossil fuel based cogeneration for identified recipient facility(ies),,,1,0,1,National Company for Maize Products (NCMP) - Combined Heat & Power Project ,https://registry.goldstandard.org/projects/details/12990,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0036 Fuel switch from fossil fuels to biomass residues in heat generation equipment,,,1,0,1,KronoClimate,https://registry.goldstandard.org/projects/details/638,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0048 New cogeneration facilities supplying electricity and/or steam to multiple customers and displacing grid/off-grid steam and electricity generation with more carbon-intensive fuels,,,1,0,1,TPP Topar Kazakhmys Corporation LLC,https://registry.goldstandard.org/projects/details/1351,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0058 Introduction of a district heating system,,,1,0,1,Soma District Heating Project- Zone 1,https://registry.goldstandard.org/projects/details/2736,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0072 Fossil Fuel Displacement by Geothermal Resources for Space Heating,,,5,0,1,Hailifeng Shandong Geothermal Central Heating System,https://registry.goldstandard.org/projects/details/11941,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,,,2,0,2,Centralized Livestock Manure Treatment Center in Xiayi County ,https://registry.goldstandard.org/projects/details/12250,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.A. Electricity generation by the user,,,51,0,11,Uplifting communities through clean energy in the DRC - VPA 1,https://registry.goldstandard.org/projects/details/12470,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.B. Mechanical energy for the user with or without electrical energy,,,13,0,2,Metafin-Off Grid Solar Milling Plants for Household Programme,https://registry.goldstandard.org/projects/details/23217,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.C. Thermal energy production with or without electricity,,,118,0,10,Biomass based cogeneration project by Olam Agri in Rajgoli Maharashtra,https://registry.goldstandard.org/projects/details/23146,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.D. Grid connected renewable electricity generation,,,220,0,23,Jasil Jel Energy 15MW Wind Project,https://registry.goldstandard.org/projects/details/12777,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
gold_standard,Gold Standard,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,,,81,0,14,CPA-MA-25-Madagascar Ethanol Stove Program,https://registry.goldstandard.org/projects/details/11717,Distinct methodology labels from Gold Standard project export; no clear methodology-specific document match
